,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7,channel 8,channel 9,channel 10,channel 11,channel 12,channel 13,channel 14,channel 15,channel 16,channel 17,channel 18
0,182,230,261,401,141,314,37,49,0.65496826171875,0.44488525390625,0.24053955078125,-0.5614013671875,-1.11767578125,0.42578125,0.63623046875,127.75,101.25,-47.9375
0,203,212,212,393,138,318,38,51,0.63934326171875,0.4652099609375,0.24072265625,-0.5628662109375,-0.85400390625,0.705078125,0.85107421875,116.875,89.5,-33.5625
0,218,240,263,592,188,323,49,82,0.632080078125,0.4759521484375,0.23675537109375,-0.56378173828125,-0.70751953125,0.6376953125,0.9765625,76.0,63.625,-21.75
0,236,230,254,600,173,255,56,93,0.6240234375,0.48675537109375,0.24658203125,-0.55926513671875,-1.43212890625,0.43798828125,-0.189453125,6.125,41.5,-14.4375
0,243,233,259,615,182,209,63,101,0.62786865234375,0.4801025390625,0.252197265625,-0.5582275390625,-0.69140625,0.33203125,1.01318359375,-40.6875,37.0,-14.0
0,246,235,290,624,202,145,70,106,0.63287353515625,0.47320556640625,0.25079345703125,-0.55914306640625,-0.3173828125,0.4091796875,1.251953125,-17.1875,28.1875,-10.9375
0,282,240,293,756,222,133,72,124,0.6324462890625,0.47454833984375,0.24468994140625,-0.56121826171875,-0.37744140625,0.39990234375,0.8427734375,36.0,15.625,-5.25
0,242,199,240,657,185,125,67,103,0.62542724609375,0.485107421875,0.24066162109375,-0.561767578125,-0.71533203125,0.39306640625,0.1337890625,62.75,14.75,-5.5
0,213,163,221,658,214,148,59,91,0.61444091796875,0.49993896484375,0.23968505859375,-0.561279296875,-1.18408203125,0.28076171875,-0.23974609375,72.9375,14.125,0.9375
0,198,143,235,649,222,151,55,87,0.60595703125,0.50872802734375,0.2425537109375,-0.5614013671875,-1.29443359375,0.13623046875,-0.1357421875,39.25,7.75,-1.0625
0,192,140,192,659,195,175,48,82,0.60284423828125,0.50909423828125,0.2467041015625,-0.5626220703125,-0.96484375,0.00146484375,0.2431640625,4.375,6.9375,-3.0625
0,124,103,187,516,179,172,47,54,0.60223388671875,0.5107421875,0.2451171875,-0.56243896484375,-0.48046875,0.35302734375,0.38330078125,12.4375,12.4375,-4.4375
0,120,96,177,424,173,157,43,52,0.59716796875,0.51629638671875,0.24505615234375,-0.56280517578125,-0.7880859375,0.28466796875,0.21484375,32.875,17.6875,-8.5625
0,118,117,288,422,147,138,46,55,0.59490966796875,0.51715087890625,0.2457275390625,-0.56414794921875,-0.68115234375,0.26513671875,0.43017578125,13.125,14.3125,-12.6875
0,118,112,278,414,124,122,42,47,0.593017578125,0.51611328125,0.2498779296875,-0.565185546875,-0.705078125,0.111328125,0.3525390625,-4.375,15.25,-14.0
0,116,102,277,354,119,83,38,46,0.5882568359375,0.51812744140625,0.253173828125,-0.56683349609375,-0.7431640625,0.07421875,0.31591796875,18.0625,21.8125,-15.75
0,83,108,289,451,116,112,40,51,0.579833984375,0.52606201171875,0.25372314453125,-0.5679931640625,-0.9296875,0.24755859375,0.146484375,49.4375,24.5,-16.3125
0,75,106,289,455,114,117,43,50,0.57373046875,0.5284423828125,0.25616455078125,-0.5709228515625,-1.1962890625,0.11279296875,0.5048828125,31.3125,21.625,-13.875
0,57,72,183,400,90,104,39,43,0.56622314453125,0.5333251953125,0.26275634765625,-0.57086181640625,-1.39111328125,0.0986328125,-0.03173828125,14.4375,17.8125,-13.6875
0,51,70,149,409,103,107,39,41,0.56982421875,0.53057861328125,0.26080322265625,-0.57073974609375,-0.4228515625,0.5126953125,0.73046875,-8.9375,16.875,-9.5
0,46,76,161,433,113,103,39,39,0.56683349609375,0.534423828125,0.26373291015625,-0.5687255859375,-0.8505859375,0.31298828125,-0.01318359375,2.5,14.5,-8.0
0,40,64,131,324,102,69,30,20,0.5555419921875,0.5445556640625,0.27056884765625,-0.56707763671875,-1.38330078125,0.0693359375,-0.57763671875,29.0625,14.25,-12.8125
0,40,60,127,309,102,59,24,18,0.5440673828125,0.55218505859375,0.2764892578125,-0.56793212890625,-1.51220703125,-0.04052734375,-0.2919921875,36.8125,13.8125,-13.6875
0,38,55,107,299,110,59,27,21,0.53619384765625,0.55413818359375,0.2791748046875,-0.57220458984375,-1.2314453125,-0.009765625,0.24951171875,34.1875,10.25,-19.5625
0,36,49,104,261,95,59,25,21,0.5322265625,0.5526123046875,0.2757568359375,-0.57904052734375,-0.71533203125,0.162109375,0.77734375,42.25,8.0625,-22.4375
0,34,38,81,222,90,59,25,24,0.528076171875,0.55377197265625,0.26861572265625,-0.5850830078125,-0.41259765625,0.35546875,0.70068359375,57.3125,8.1875,-22.9375
0,35,43,69,188,96,85,38,38,0.5189208984375,0.5614013671875,0.26361083984375,-0.5882568359375,-0.767578125,0.41650390625,0.09228515625,68.5625,8.3125,-25.3125
0,35,87,75,171,95,104,43,100,0.51031494140625,0.56494140625,0.25860595703125,-0.5946044921875,-0.55078125,0.20556640625,0.34716796875,68.0,3.5625,-29.5625
0,34,88,68,158,84,129,52,112,0.498779296875,0.5709228515625,0.2559814453125,-0.5997314453125,-0.95654296875,0.1875,0.07958984375,69.8125,3.625,-31.9375
0,35,104,72,145,95,129,60,115,0.4859619140625,0.577880859375,0.25225830078125,-0.60516357421875,-0.921875,0.17236328125,0.17333984375,83.1875,12.5,-32.0
0,39,129,78,94,91,131,70,143,0.47149658203125,0.58685302734375,0.2464599609375,-0.6103515625,-0.9228515625,0.22216796875,0.12548828125,100.5,17.8125,-32.0
0,42,131,80,75,104,131,86,222,0.45526123046875,0.598388671875,0.24066162109375,-0.61376953125,-0.765625,0.3388671875,-0.05859375,109.375,32.9375,-32.8125
0,72,116,77,68,110,128,103,269,0.44183349609375,0.609375,0.23297119140625,-0.61572265625,-1.060546875,0.13427734375,0.45068359375,106.0625,35.0,-8.1875
0,74,117,74,68,121,126,107,334,0.42547607421875,0.61663818359375,0.2213134765625,-0.624267578125,-1.06005859375,-0.07421875,0.3427734375,129.625,-9.0625,-23.1875
0,75,103,68,68,117,128,104,341,0.40386962890625,0.624755859375,0.20477294921875,-0.63604736328125,-0.90380859375,0.01806640625,0.21630859375,171.3125,-24.0,-33.875
0,76,71,55,58,127,127,107,368,0.38055419921875,0.63427734375,0.18902587890625,-0.64581298828125,-0.9892578125,0.14599609375,0.05126953125,174.375,-10.75,-38.375
0,83,64,52,62,115,112,101,363,0.35919189453125,0.644287109375,0.1751708984375,-0.65203857421875,-0.99462890625,0.2197265625,-0.04296875,156.8125,4.5625,-31.125
0,80,48,36,73,124,110,99,362,0.3414306640625,0.65423583984375,0.1629638671875,-0.65478515625,-1.01513671875,0.36376953125,-0.0234375,133.625,18.0625,-19.0625
0,91,47,47,99,205,81,94,307,0.3302001953125,0.661376953125,0.1534423828125,-0.65570068359375,-1.00341796875,0.41015625,0.03759765625,91.3125,12.3125,-13.0
0,94,47,55,100,209,76,100,307,0.3216552734375,0.6656494140625,0.1466064453125,-0.65716552734375,-0.935546875,0.39501953125,0.06884765625,66.4375,5.3125,-16.5
0,100,59,58,101,203,76,101,273,0.31585693359375,0.66619873046875,0.14361572265625,-0.66015625,-0.978515625,0.2880859375,0.125,37.25,-6.375,-19.4375
0,95,60,58,95,202,76,92,240,0.3111572265625,0.66400146484375,0.1439208984375,-0.6644287109375,-0.90087890625,0.15869140625,0.185546875,18.5,-12.375,-25.1875
0,76,57,55,85,192,58,78,170,0.30523681640625,0.6617431640625,0.1455078125,-0.66912841796875,-0.86669921875,0.05859375,0.18603515625,18.6875,-11.125,-30.125
0,64,55,46,51,84,57,85,156,0.29644775390625,0.66204833984375,0.14410400390625,-0.673095703125,-0.869140625,0.07470703125,0.1259765625,44.0625,-5.1875,-28.125
0,94,64,40,54,70,52,85,178,0.287353515625,0.66375732421875,0.14239501953125,-0.6756591796875,-0.9326171875,0.1376953125,0.087890625,46.1875,2.1875,-28.75
0,92,49,34,54,77,45,72,199,0.27801513671875,0.6668701171875,0.13848876953125,-0.67730712890625,-0.97216796875,0.16943359375,0.1044921875,57.5625,9.4375,-20.625
0,93,48,43,78,79,40,74,184,0.27105712890625,0.67071533203125,0.1329345703125,-0.67742919921875,-0.9970703125,0.3173828125,0.052734375,53.75,10.1875,-11.9375
0,93,46,45,90,94,40,72,192,0.2686767578125,0.67279052734375,0.1302490234375,-0.6768798828125,-0.96240234375,0.35009765625,0.01611328125,21.0,4.8125,-8.4375
0,95,47,70,131,154,57,63,220,0.26812744140625,0.67327880859375,0.12933349609375,-0.6767578125,-0.93212890625,0.25537109375,0.01953125,5.3125,-1.0625,-3.4375
0,60,31,70,140,160,62,57,191,0.26824951171875,0.67333984375,0.1292724609375,-0.67669677734375,-0.9677734375,0.236328125,0.037109375,0.3125,0.125,0.5
0,55,34,72,140,159,62,66,196,0.26812744140625,0.67376708984375,0.12762451171875,-0.6766357421875,-0.99609375,0.20751953125,0.03466796875,7.0,-2.5,5.1875
0,70,42,69,132,170,65,70,275,0.270751953125,0.674072265625,0.127197265625,-0.67535400390625,-0.943359375,0.2001953125,0.03125,-9.375,1.875,12.8125
0,72,43,70,129,168,66,67,279,0.27447509765625,0.67254638671875,0.13006591796875,-0.6748046875,-0.8857421875,0.04052734375,0.09521484375,-27.1875,0.6875,12.3125
0,88,44,44,82,131,54,66,274,0.27374267578125,0.67132568359375,0.1324462890625,-0.6759033203125,-0.9072265625,-0.03173828125,0.1279296875,-5.6875,-0.0625,-0.4375
0,98,44,41,62,127,50,65,277,0.2691650390625,0.67205810546875,0.1307373046875,-0.67730712890625,-1.0185546875,0.04736328125,0.0859375,27.3125,-0.125,-2.9375
0,96,44,40,58,128,52,57,252,0.2657470703125,0.67340087890625,0.127685546875,-0.67791748046875,-1.046875,0.12548828125,0.07421875,28.0625,1.125,3.3125
0,85,36,33,48,121,46,51,160,0.26336669921875,0.6744384765625,0.12542724609375,-0.67822265625,-1.044921875,0.1337890625,0.05419921875,19.9375,0.6875,4.125
0,84,38,31,34,113,45,53,154,0.26171875,0.67462158203125,0.1239013671875,-0.678955078125,-1.0654296875,0.13037109375,0.07177734375,13.3125,-2.6875,3.25
0,99,56,37,50,212,44,55,125,0.26080322265625,0.67352294921875,0.12371826171875,-0.680419921875,-1.01025390625,0.1005859375,0.08642578125,4.125,-7.9375,0.4375
0,108,78,47,64,236,50,73,157,0.2598876953125,0.671875,0.125732421875,-0.68206787109375,-0.98779296875,0.04931640625,0.08154296875,-4.625,-8.125,-6.125
0,128,81,49,70,260,49,70,155,0.2574462890625,0.6705322265625,0.1279296875,-0.68389892578125,-0.9521484375,0.0107421875,0.11669921875,1.3125,-4.0,-11.0
0,149,92,52,72,261,52,75,150,0.25323486328125,0.66998291015625,0.12841796875,-0.6859130859375,-0.998046875,0.06640625,0.111328125,15.8125,-3.25,-14.9375
0,176,102,54,77,268,55,77,152,0.24993896484375,0.66986083984375,0.12933349609375,-0.68707275390625,-0.99609375,0.14404296875,0.033203125,9.25,-3.3125,-17.375
0,168,91,50,65,193,53,79,169,0.24786376953125,0.6693115234375,0.132080078125,-0.6878662109375,-0.9990234375,0.09814453125,0.05126953125,-2.75,-1.125,-16.625
0,214,81,46,56,171,51,75,159,0.2440185546875,0.6693115234375,0.1334228515625,-0.68896484375,-0.9912109375,0.0830078125,0.0810546875,10.5625,1.4375,-17.6875
0,281,88,48,54,140,69,100,210,0.23992919921875,0.67083740234375,0.1312255859375,-0.6893310546875,-1.01123046875,0.1796875,0.0498046875,26.375,3.5625,-9.5625
0,295,86,46,56,130,69,105,239,0.239013671875,0.672119140625,0.12945556640625,-0.688720703125,-1.00390625,0.248046875,0.048828125,11.125,4.6875,-2.0625
0,308,81,44,52,115,69,106,231,0.24041748046875,0.67254638671875,0.1290283203125,-0.6878662109375,-0.9814453125,0.2392578125,0.03759765625,-4.375,1.4375,1.875
0,342,85,49,69,139,76,110,243,0.2437744140625,0.6712646484375,0.13134765625,-0.68756103515625,-0.99169921875,0.18212890625,0.06982421875,-24.5,-2.75,1.375
0,314,79,44,65,132,71,109,244,0.24725341796875,0.6705322265625,0.133056640625,-0.68670654296875,-0.93408203125,0.134765625,0.06103515625,-21.375,0.125,8.1875
0,281,85,44,63,119,55,100,241,0.249267578125,0.671142578125,0.13323974609375,-0.68536376953125,-0.93408203125,0.10888671875,0.0517578125,-8.875,5.75,11.875
0,259,76,43,60,116,50,100,232,0.25103759765625,0.67205810546875,0.1324462890625,-0.68389892578125,-0.9638671875,0.1591796875,0.072265625,-3.25,7.5,12.3125
0,244,78,45,63,117,46,101,261,0.25439453125,0.672607421875,0.131591796875,-0.68231201171875,-0.9716796875,0.216796875,0.08740234375,-9.875,6.5,15.0625
0,242,79,38,48,78,41,99,271,0.260009765625,0.6712646484375,0.133544921875,-0.68109130859375,-0.99267578125,0.1953125,0.09521484375,-32.0625,0.1875,13.375
0,265,89,44,52,66,50,110,274,0.26629638671875,0.66815185546875,0.13787841796875,-0.680908203125,-0.97802734375,0.08447265625,0.1328125,-44.75,-5.25,11.5625
0,243,91,43,54,66,52,106,257,0.2708740234375,0.6651611328125,0.14111328125,-0.681396484375,-0.984375,0.06591796875,0.13232421875,-33.1875,-8.1875,9.25
0,241,96,43,56,65,52,98,245,0.27435302734375,0.6627197265625,0.14312744140625,-0.681884765625,-1.00048828125,0.08984375,0.1298828125,-23.375,-7.875,8.9375
0,272,120,41,51,58,57,110,310,0.27764892578125,0.6607666015625,0.14471435546875,-0.68218994140625,-1.0146484375,0.11328125,0.11328125,-21.0,-7.125,8.6875
0,229,119,45,60,56,53,133,309,0.28173828125,0.658935546875,0.14715576171875,-0.6817626953125,-1.02099609375,0.1669921875,0.0849609375,-28.125,-5.6875,6.6875
0,235,127,44,62,52,52,139,428,0.2872314453125,0.65679931640625,0.1502685546875,-0.68084716796875,-1.025390625,0.181640625,0.095703125,-37.4375,-4.5,9.25
0,251,126,60,86,58,64,155,503,0.29388427734375,0.653564453125,0.1558837890625,-0.6798095703125,-1.03369140625,0.140625,0.0849609375,-52.9375,-6.3125,6.6875
